Transcript	logFC	AveExpr	t	P.Value	adj.P.Val	B	associated.gene
PB.3.3030	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.315	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.335	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.34	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.35	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.357	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.363	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.434	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.446	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.45	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.466	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.481	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.535	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.539	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.550	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.568	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.605	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.642	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.658	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.671	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.674	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.685	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.688	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.696	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.723	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.727	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.741	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.846	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.852	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.878	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.882	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.915	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.941	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.962	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.979	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.982	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.437	-0.23670496586493	7.05213370618788	-0.627663542525778	0.530252474249564	0.784079854513132	-5.44108045998415	NA
PB.3.2043	-0.515646892710661	2.03540751434256	-0.620563743216815	0.534914430675989	0.784079854513132	-4.91512645288769	NA
PB.3.109	0.674674560300753	1.25465652582885	0.616865329932288	0.537351092449926	0.784079854513132	-4.80232891576859	NA
PB.3.1271	0.674674560300753	1.25465652582885	0.616865329932288	0.537351092449926	0.784079854513132	-4.80232891576859	NA
PB.3.1304	0.674674560300753	1.25465652582885	0.616865329932288	0.537351092449926	0.784079854513132	-4.80232891576859	NA
PB.3.139	0.674674560300753	1.25465652582885	0.616865329932288	0.537351092449926	0.784079854513132	-4.80232891576859	NA
PB.3.1885	0.674674560300753	1.25465652582885	0.616865329932288	0.537351092449926	0.784079854513132	-4.80232891576859	NA
PB.3.1939	0.674674560300753	1.25465652582885	0.616865329932288	0.537351092449926	0.784079854513132	-4.80232891576859	NA
PB.3.2283	0.674674560300753	1.25465652582885	0.616865329932288	0.537351092449926	0.784079854513132	-4.80232891576859	NA
PB.3.2400	0.674674560300753	1.25465652582885	0.616865329932288	0.537351092449926	0.784079854513132	-4.80232891576859	NA
PB.2.412	0.725607324315304	0.886173728745751	0.616482955960632	0.537603333466375	0.784079854513132	-4.77815881838125	NA
PB.3.1081	0.725607324315304	0.886173728745751	0.616482955960632	0.537603333466375	0.784079854513132	-4.77815881838125	NA
PB.3.1557	0.725607324315304	0.886173728745751	0.616482955960632	0.537603333466375	0.784079854513132	-4.77815881838125	NA
PB.3.1565	0.725607324315304	0.886173728745751	0.616482955960632	0.537603333466375	0.784079854513132	-4.77815881838125	NA
PB.3.2489	0.725607324315304	0.886173728745751	0.616482955960632	0.537603333466375	0.784079854513132	-4.77815881838125	NA
PB.3.2519	0.725607324315304	0.886173728745751	0.616482955960632	0.537603333466375	0.784079854513132	-4.77815881838125	NA
